transaction_id,timestamp,amount,transaction_type,subject,description,status,country
1190,2023-04-06 02:25:49,338.62,acquisto,Michael Nguyen,Pull war fund raise.,autorizzata,French Southern Territories
2208,2023-05-14 10:07:42,697.82,acquisto,Joann Gibbs,Word news authority tell information thing.,autorizzata,Nicaragua
2114,2023-05-28 19:17:58,727.1,prelievo,Travis Sharp,Send live too seat guess inside whole until.,sospetta,Ireland
7024,2023-08-13 12:18:16,358.71,trasferimento,Adrian Orr,Add tree similar.,autorizzata,Korea
7651,2023-01-08 23:42:06,202.41,acquisto,Alexis Smith,Strong tell soldier.,autorizzata,Antigua and Barbuda
7932,2023-05-24 03:18:59,962.48,trasferimento,Charles Silva,Explain person particularly see wind describe ten.,sospetta,Malta
9289,2023-06-08 11:25:18,601.5,trasferimento,Troy Reyes,Well check ground someone stage.,sospetta,Latvia
4073,2023-03-27 09:54:02,987.2,acquisto,Samantha Torres,Parent nearly skin more form painting.,autorizzata,Heard Island and McDonald Islands
2878,2023-07-28 15:55:17,594.44,acquisto,Alexandra Cook,Gas model understand back officer.,autorizzata,Heard Island and McDonald Islands
618,2023-05-19 08:13:58,776.27,acquisto,Morgan Farley,No lose whether pretty nice born.,sospetta,Lithuania
7949,2023-04-27 12:58:23,248.36,trasferimento,Madeline Munoz,Grow front small capital.,autorizzata,Myanmar
2943,2023-01-19 20:36:47,975.1,acquisto,Andrew Johnson,Must represent surface past question help perform sort.,sospetta,Czech Republic
1220,2023-03-23 17:53:09,55.65,prelievo,Susan Wade,Bit million establish finally tend room.,autorizzata,Saint Helena
4802,2023-02-28 18:32:10,912.92,acquisto,Bradley Ruiz,Financial law according child.,autorizzata,Anguilla
5098,2023-02-16 00:38:28,643.73,trasferimento,Cheryl Bell,Budget of land business pass everything.,autorizzata,Ghana
8434,2023-03-31 02:29:33,776.13,acquisto,Carrie Ramirez,Training four white campaign go them pull.,autorizzata,Cambodia
9722,2023-08-13 15:24:25,51.01,prelievo,Kathy Riley,Affect knowledge church take evening hold.,autorizzata,Saudi Arabia
1801,2023-03-21 13:13:50,911.0,prelievo,Wendy Bell,Kind gun very.,sospetta,United Kingdom
9356,2023-07-24 13:09:07,627.71,prelievo,Loretta Smith,Voice fire thought trouble in.,autorizzata,Benin
4141,2023-08-16 05:26:38,150.32,acquisto,Richard Woods,Fall avoid tell issue space it health how.,sospetta,Hungary
1368,2023-03-20 16:01:53,325.83,prelievo,Susan Rhodes,Mention five we nearly western.,autorizzata,Monaco
5426,2023-07-19 09:24:26,525.59,prelievo,Wendy Baker,Soldier feeling everyone seek throw.,autorizzata,Serbia
111,2023-06-10 22:48:44,610.85,acquisto,Walter Smith,Writer end impact center.,autorizzata,South Georgia and the South Sandwich Islands
4855,2023-08-22 22:56:20,273.17,acquisto,Evelyn Williams,Performance music exactly moment particularly price.,autorizzata,Burkina Faso
1340,2023-07-14 15:16:55,986.36,prelievo,Seth Lane,Side account language career.,autorizzata,Colombia
8483,2023-06-30 06:54:47,107.05,acquisto,Eric Fisher,Kid adult page TV eight.,sospetta,Denmark
7543,2023-04-16 17:34:35,730.7,acquisto,Tiffany Quinn,Eight treat across.,autorizzata,Mongolia
750,2023-04-18 00:05:37,326.38,prelievo,Noah Rose,Soldier president spring century stuff bring.,autorizzata,Sri Lanka
2246,2023-02-03 07:37:32,409.35,acquisto,Natalie Martin,Current foreign short.,sospetta,Malta
8224,2023-02-26 23:37:33,906.92,acquisto,Michael Henderson,Notice letter scene movement understand town.,autorizzata,China
7146,2023-06-13 16:24:17,943.57,trasferimento,Christine Choi,Yourself blood past wear individual.,sospetta,Sweden
7063,2023-07-28 08:34:23,344.04,prelievo,Tara Buck,Walk surface tax arm impact section put outside.,autorizzata,United States of America
6330,2023-08-18 08:57:13,495.54,prelievo,Anthony Wilson,Region nor peace people.,autorizzata,Saudi Arabia
6633,2023-01-29 09:06:57,557.3,trasferimento,Patricia Edwards,Research find respond suffer.,autorizzata,Cook Islands
617,2023-06-14 12:01:36,995.73,prelievo,Stephanie Hart,Into yourself wait speak player different class west.,autorizzata,Nigeria
1752,2023-03-21 08:12:33,792.77,prelievo,Dr. Christina Horne,Personal billion girl industry history.,autorizzata,Holy See (Vatican City State)
3231,2023-04-27 20:33:46,834.18,trasferimento,Bill Farley MD,Defense fast page unit together region room.,autorizzata,Turkey
9461,2023-04-12 20:34:52,486.52,prelievo,Jacob Moore,Also member whatever face go.,autorizzata,Honduras
3902,2023-03-26 02:11:13,990.65,acquisto,Amanda Reed,Notice reason ask house.,sospetta,Ireland
1497,2023-02-03 23:24:39,986.55,prelievo,Andrea Dean,Customer possible traditional very.,autorizzata,Falkland Islands (Malvinas)
1283,2023-01-10 18:25:23,734.78,trasferimento,Alfred Burton,Impact already purpose hour parent site.,autorizzata,Gibraltar
7017,2023-03-15 13:04:40,635.72,trasferimento,Benjamin Hall,Rule tree few.,autorizzata,Armenia
9058,2023-05-15 01:25:43,88.44,acquisto,Henry Underwood,Require alone term court off out.,sospetta,Germany
8136,2023-03-27 11:16:00,816.33,acquisto,Marilyn Russo,Operation hour sound green medical him billion.,sospetta,Slovenia
8687,2023-07-19 21:57:39,107.44,prelievo,Heather Lynch,Themselves tax up move key.,autorizzata,Jamaica
794,2023-05-21 22:48:19,54.99,trasferimento,Thomas Curry,Environment range move there friend.,autorizzata,Bangladesh
8882,2023-03-17 01:40:17,368.22,prelievo,Joseph Duncan,East program as arrive organization spend.,autorizzata,Japan
189,2023-02-12 20:37:24,379.8,prelievo,Charles Fisher,Indeed indicate into management teacher condition pay.,autorizzata,Micronesia
2428,2023-06-30 07:11:56,700.38,prelievo,Amy Atkins,Service stage plant hour responsibility simply.,autorizzata,Guinea
3308,2023-03-29 01:58:14,857.65,trasferimento,Matthew Cook,Measure world decide full happy arm stage community.,autorizzata,Pakistan
7510,2023-05-30 01:18:48,983.96,prelievo,Elizabeth Castro,Detail amount turn manage newspaper.,autorizzata,Saint Pierre and Miquelon
5200,2023-06-22 03:56:36,806.71,acquisto,John Farmer,Add size there they clear.,autorizzata,Palestinian Territory
6314,2023-05-19 21:42:25,189.89,trasferimento,Morgan Cox,Kid over moment health yard professional.,autorizzata,Trinidad and Tobago
5219,2023-07-04 18:18:18,427.28,prelievo,Joseph Williams,Recently door practice understand address.,autorizzata,Nigeria
3344,2023-07-07 17:50:41,178.18,prelievo,Anthony Jackson,Time couple region main any.,autorizzata,Uruguay
9573,2023-01-28 20:49:15,171.03,prelievo,Amber Simmons,Interest generation fall seek carry.,autorizzata,Nepal
2751,2023-07-01 21:51:45,909.49,trasferimento,Thomas Davies,Dream wish who two difficult want than thank.,autorizzata,Saudi Arabia
6763,2023-01-12 01:55:17,590.06,prelievo,Sarah Sanchez,Seat understand similar yard.,autorizzata,Thailand
3705,2023-05-30 02:53:39,219.23,acquisto,Bryan Hernandez,Site sell kitchen pull our.,autorizzata,Maldives
3417,2023-07-22 18:11:20,747.89,acquisto,Tracy Jones,Glass word cell face activity.,autorizzata,Cape Verde
2353,2023-01-08 07:36:20,163.09,acquisto,Kathryn Valentine,Car visit unit.,autorizzata,Lesotho
5522,2023-03-08 21:34:51,478.41,trasferimento,Joshua Fletcher,Sister against church million around before wish.,autorizzata,Tonga
1447,2023-06-16 23:00:50,439.95,prelievo,Mr. Tyler Hines MD,Word young sound military begin several affect event.,autorizzata,Gibraltar
6874,2023-08-15 01:36:06,611.41,trasferimento,Justin Hernandez,Method sea every my radio book college security.,autorizzata,Uruguay
5131,2023-05-06 16:52:20,309.04,trasferimento,Olivia Gray,A must behind after.,autorizzata,Marshall Islands
8768,2023-02-09 16:49:36,251.38,trasferimento,Valerie Goodwin,Central tend start case.,autorizzata,Cameroon
2019,2023-05-01 21:57:55,833.2,prelievo,Sandra Davis,Their mission training open.,autorizzata,Western Sahara
3228,2023-06-03 14:57:17,300.23,trasferimento,Jacob Bridges,Environmental section rule real none hard.,autorizzata,Venezuela
2141,2023-02-14 15:06:28,288.93,trasferimento,Nicole Nolan,Citizen play defense defense.,autorizzata,American Samoa
4162,2023-01-31 23:34:33,448.05,trasferimento,Kaylee Dennis,Partner again evening despite.,autorizzata,South Georgia and the South Sandwich Islands
2597,2023-07-06 09:05:48,785.59,trasferimento,Melissa Martin,Factor natural what base I.,autorizzata,Jamaica
6085,2023-06-14 18:56:22,971.44,acquisto,Adam Decker,None discuss stuff something lead family center.,autorizzata,Sri Lanka
7782,2023-03-03 09:51:19,910.08,acquisto,Cameron Hamilton,Apply local later.,autorizzata,Moldova
3939,2023-03-21 12:15:15,635.56,prelievo,Timothy Tucker,Between although author simply if improve.,autorizzata,Burundi
1461,2023-05-14 10:20:50,456.15,acquisto,Evan Hunter,Last degree argue watch lead computer.,sospetta,Sweden
6575,2023-01-01 20:36:41,741.82,prelievo,Amy Ayala,There ball reflect his front add owner.,autorizzata,Malaysia
660,2023-02-23 11:11:47,41.13,prelievo,Courtney King,Learn almost you both charge.,sospetta,Norway
1569,2023-01-27 12:41:29,964.71,prelievo,Latoya Jordan,Order man decide off.,autorizzata,Nepal
8582,2023-08-06 22:02:57,810.07,trasferimento,Donald Jones,From reality medical evening eye eight.,autorizzata,Myanmar
8481,2023-05-15 01:09:04,553.39,prelievo,Sarah Jimenez,Cover name no design gun during traditional.,autorizzata,Suriname
4221,2023-04-24 18:48:41,849.98,trasferimento,Teresa Martin,Some six long itself often issue.,autorizzata,Belarus
214,2023-06-05 14:06:56,225.93,acquisto,Christopher Rivas,Reason cut message enjoy task.,autorizzata,Mauritania
792,2023-06-06 08:19:40,275.14,trasferimento,Carrie Gregory,Away prepare final.,autorizzata,Gibraltar
741,2023-08-08 20:37:07,134.99,trasferimento,Rachel Rivera,Marriage shoulder determine different southern.,autorizzata,Macao
6785,2023-05-01 23:56:13,234.66,prelievo,Alyssa Goodwin,Relate put stock doctor poor research.,autorizzata,Wallis and Futuna
7577,2023-03-26 01:08:35,88.75,acquisto,Andrew Rush,Find piece free evening air ahead.,autorizzata,Dominican Republic
185,2023-08-04 23:35:34,367.83,trasferimento,Bobby King,If participant us fall.,autorizzata,Northern Mariana Islands
740,2023-01-03 15:30:42,246.43,acquisto,Christopher Thompson,Travel wide campaign pull serious policy expect.,autorizzata,Turkmenistan
6050,2023-08-01 18:04:50,312.74,acquisto,Misty Gonzalez,Show carry present center.,autorizzata,Netherlands Antilles
5864,2023-04-06 09:22:44,825.06,prelievo,Molly Marquez,Arm culture herself data strategy ground.,autorizzata,British Virgin Islands
5148,2023-05-27 21:59:45,948.98,acquisto,Tina Fisher,Standard hospital war benefit music mean.,autorizzata,Botswana
6778,2023-07-29 16:42:34,716.43,prelievo,Mark Hamilton,Everybody manage security visit truth late.,autorizzata,United States Virgin Islands
1668,2023-01-10 04:27:04,260.24,acquisto,Megan Jones,I pay cost its him idea approach.,sospetta,Netherlands
8760,2023-06-03 03:34:36,921.65,acquisto,Raymond Davidson,Her or box get wall fly health.,autorizzata,Paraguay
2092,2023-04-22 06:35:39,871.67,prelievo,Robert Munoz,Me sell game eat.,autorizzata,Comoros
5078,2023-03-06 09:09:17,36.83,prelievo,Caitlin Frank,Themselves parent phone deal.,autorizzata,Micronesia
5242,2023-01-25 03:49:35,849.4,acquisto,Emma Johnston,Board hotel trip list country Republican as threat.,autorizzata,French Guiana
7824,2023-06-23 23:51:48,813.47,acquisto,Elizabeth Smith,Son officer quickly.,autorizzata,Guernsey
9785,2023-06-02 11:39:36,901.5,prelievo,Cindy Wise,Official marriage individual face draw.,autorizzata,Qatar
6249,2023-06-24 12:25:38,346.97,trasferimento,Michelle Christian,Game Mrs write.,sospetta,Sweden
40,2023-04-15 02:39:41,763.13,trasferimento,Ronald Dunn,Present box wall.,autorizzata,India
9765,2023-02-01 00:25:41,129.76,acquisto,Miss Tiffany Greer PhD,Democratic week prevent up.,sospetta,Malta
578,2023-06-17 23:40:57,25.76,acquisto,William Mcgee,Cup think south director appear shoulder.,autorizzata,Yemen
8305,2023-01-04 18:06:22,298.55,trasferimento,Victoria Ruiz,Run hour glass wall must boy see across.,autorizzata,Jordan
3471,2023-03-27 11:10:29,905.99,trasferimento,Amanda Bell,Today recently foreign despite yes.,autorizzata,Equatorial Guinea
7299,2023-04-03 18:40:09,951.1,acquisto,Lisa Wilson,Stuff nature say job team successful government what.,autorizzata,Montenegro
5162,2023-01-24 23:59:07,916.86,acquisto,Diamond Foster,Itself inside create still make natural.,autorizzata,Indonesia
2205,2023-05-02 07:20:16,508.68,prelievo,Pamela Ewing,Simple speech attack.,autorizzata,Madagascar
2542,2023-01-09 02:10:56,763.11,prelievo,Joshua Johnson,Bill worry close evening lay particular individual reflect.,autorizzata,Paraguay
2280,2023-06-27 21:12:21,621.95,trasferimento,Jodi Mills,It challenge body strategy hospital human cost.,autorizzata,Christmas Island
7157,2023-04-26 07:40:47,250.35,acquisto,Lawrence Li,Song remember simple television deal fund rule.,autorizzata,Dominica
2320,2023-05-07 02:39:33,80.22,acquisto,Jennifer Thompson,Not service education policy science more among.,autorizzata,Madagascar
6075,2023-05-26 09:07:01,616.76,trasferimento,Jill Baker,Religious mean mother sea main.,autorizzata,Australia
9351,2023-02-09 15:57:49,831.02,trasferimento,Elizabeth Booth,As state subject series.,autorizzata,Pitcairn Islands
4615,2023-07-18 05:57:57,674.56,trasferimento,Stephen Hawkins,Many provide local help less dark development top.,autorizzata,Cook Islands
6779,2023-08-08 23:21:26,554.3,acquisto,Andrew Frost,Remember arm of machine realize big.,autorizzata,Montserrat
2242,2023-08-17 10:11:22,301.52,acquisto,Paula Campos,Mission store hit concern series.,autorizzata,Guernsey
3927,2023-01-21 02:49:09,673.6,prelievo,Victor Walter,Even term in technology often guy arm learn.,sospetta,Cyprus
926,2023-03-19 21:07:20,140.1,prelievo,Joseph Barrett,Nature guess early three issue.,autorizzata,Tanzania
6768,2023-03-05 22:40:42,385.64,trasferimento,Joel Jones,Everybody moment not break for.,autorizzata,Botswana
1779,2023-02-05 06:09:23,15.35,prelievo,George Yu,Well sell doctor tough smile officer.,autorizzata,Gabon
8423,2023-08-08 12:47:48,235.79,acquisto,Travis Alvarez,Choice little bed knowledge close.,autorizzata,Panama
9360,2023-02-07 22:55:31,803.23,trasferimento,Shane Johnson,Especially campaign require.,autorizzata,Saint Barthelemy
2871,2023-07-08 16:20:13,711.88,acquisto,Denise Stone,He sea score prove reveal news about money.,autorizzata,Cocos (Keeling) Islands
4054,2023-05-29 06:11:26,838.14,trasferimento,Tiffany Sullivan,Mind car write indeed interest energy ask spring.,autorizzata,Australia
5450,2023-05-24 21:52:18,808.59,acquisto,Alexa Simpson,Company race decision subject fast.,autorizzata,Bangladesh
1211,2023-06-01 10:18:02,733.72,prelievo,Donna Hicks,Education black decision life.,autorizzata,Benin
3016,2023-05-29 00:57:28,277.87,trasferimento,Jeffrey Larsen,Story effect well section.,autorizzata,Guatemala
6983,2023-02-02 08:14:23,86.17,acquisto,Wanda Moore,Character nation machine.,autorizzata,Singapore
7112,2023-01-28 01:30:53,914.01,acquisto,Christopher Burton,However administration try street push expert.,autorizzata,Hong Kong
8133,2023-01-26 11:24:44,500.2,prelievo,Matthew Wood,Clear stop turn north southern thank left.,autorizzata,Mauritania
7540,2023-06-05 06:34:46,343.63,trasferimento,Robert Hawkins,Position pay pay form hotel.,autorizzata,Northern Mariana Islands
9886,2023-01-21 03:40:26,899.82,trasferimento,Laura Knight,Control through through instead.,autorizzata,Gibraltar
9995,2023-03-11 15:17:51,150.07,trasferimento,Donald Martinez,Daughter apply however agency.,autorizzata,Guadeloupe
2127,2023-05-31 00:14:15,258.48,prelievo,Drew Walter,On assume expert three quality.,sospetta,United Kingdom
2942,2023-08-09 14:24:24,550.46,acquisto,Melissa Campbell,Somebody what democratic federal program office spend plan.,autorizzata,Libyan Arab Jamahiriya
8850,2023-04-04 08:40:20,920.98,prelievo,Chloe Evans,Hand factor work leg of experience.,autorizzata,Nauru
7205,2023-04-27 07:48:18,752.67,acquisto,Shelby Whitney,Practice property mind scene themselves name power public.,autorizzata,Palau
3192,2023-01-11 01:10:38,552.99,prelievo,Anthony Smith,Where quickly why management.,autorizzata,Cook Islands
2810,2023-06-08 09:35:00,330.9,trasferimento,Joseph Watts,His I piece feeling return.,autorizzata,Bangladesh
9700,2023-03-31 23:19:22,48.65,trasferimento,Melissa Young,Easy really instead author system dark.,autorizzata,Nigeria
9523,2023-07-18 11:52:41,427.07,prelievo,Tricia Cruz,Stay same born toward century probably environment.,autorizzata,Andorra
9410,2023-04-22 11:18:36,184.15,trasferimento,Bridget Rogers,Rule improve live oil child fill compare exist.,autorizzata,Oman
3071,2023-04-01 14:37:41,18.64,prelievo,Jackie Hampton,Many however room guy.,autorizzata,United States Virgin Islands
7116,2023-08-16 22:58:46,249.13,acquisto,Summer Cuevas,All red half nothing report throughout state approach.,autorizzata,Costa Rica
8166,2023-04-05 12:53:44,225.43,prelievo,William Barrett,Paper newspaper form wish else always interview.,autorizzata,Uruguay
8955,2023-04-22 06:27:16,883.33,prelievo,Paul Bray,Get concern security relate.,autorizzata,United States Virgin Islands
3548,2023-07-26 21:52:25,763.58,acquisto,Paige Adams,Place understand sort.,autorizzata,Honduras
2650,2023-08-09 02:25:44,72.85,prelievo,Pamela David,Discussion good several activity hit.,autorizzata,Korea
2067,2023-01-21 22:42:39,520.95,trasferimento,Kenneth Carpenter,Item whom world light.,autorizzata,United States Virgin Islands
3425,2023-05-27 21:40:56,566.61,acquisto,Amanda Smith,Imagine respond first teacher agent join thousand.,autorizzata,Argentina
4743,2023-04-14 13:19:18,477.99,prelievo,Christian Richard,In many night wind hear somebody two character.,autorizzata,Philippines
250,2023-04-25 21:07:44,686.36,trasferimento,Daniel Cox,Body side arm performance amount although economy.,autorizzata,Svalbard & Jan Mayen Islands
1358,2023-01-25 07:28:45,522.61,trasferimento,Bryan Patrick,Cultural none economy size change whether.,autorizzata,Liechtenstein
1290,2023-04-23 23:06:53,779.69,prelievo,Daniel Ramos,Fall news another affect.,autorizzata,South Georgia and the South Sandwich Islands
754,2023-02-02 18:54:19,714.99,acquisto,John Foster,Across the expect store build hope western.,autorizzata,Western Sahara
4414,2023-07-08 08:24:27,151.98,prelievo,Jennifer Welch,Yeah feel may analysis bank site.,autorizzata,India
8153,2023-03-13 15:12:24,767.97,acquisto,Kelly Patton,Television American whom financial face decade.,autorizzata,Guatemala
8499,2023-07-29 10:56:56,872.31,trasferimento,Matthew Bowman,Arm establish plan job none yard home.,autorizzata,French Guiana
5058,2023-01-18 06:06:36,470.14,trasferimento,Alexis Clark,Up well whom Republican stock two.,autorizzata,Tajikistan
2390,2023-07-26 16:47:24,129.74,prelievo,Taylor Moyer,Bar act event relationship similar military stock girl.,sospetta,Bulgaria
850,2023-03-24 01:35:36,129.22,acquisto,Jason Patrick,Surface option learn all involve we baby.,autorizzata,Venezuela
9452,2023-03-25 01:11:34,232.57,prelievo,Daniel Mills,Determine attention baby look anyone century student.,autorizzata,Gambia
7284,2023-06-23 00:18:42,226.65,acquisto,Lisa Young,International they drive pay age middle.,autorizzata,Pakistan
3290,2023-01-20 15:03:05,276.49,acquisto,Michelle Williams,Three street above page sometimes movie thus.,sospetta,Poland
3042,2023-07-07 23:03:59,623.24,prelievo,Joe Foster,Second radio you more science one.,autorizzata,Ghana
5720,2023-08-09 00:37:53,118.12,prelievo,Edward Smith,Writer democratic operation describe.,sospetta,Czech Republic
6836,2023-02-07 04:48:17,377.22,acquisto,Joshua Sweeney,Wall spend once person short.,autorizzata,China
2313,2023-08-01 04:07:01,212.57,trasferimento,Todd Higgins,From yourself leave data.,sospetta,Netherlands
2084,2023-01-05 18:16:52,546.7,trasferimento,Jeremy Campbell,Piece require she travel throughout.,autorizzata,Niue
1286,2023-03-02 18:43:24,225.8,trasferimento,Gregory Hill,Positive agent pattern particular maintain success far.,autorizzata,Andorra
9110,2023-06-18 08:07:19,346.77,trasferimento,Logan Colon,Single trip some change administration method.,autorizzata,Cayman Islands
490,2023-01-25 08:58:00,871.78,prelievo,Donna Carter,Build each last social field attorney watch.,autorizzata,Saint Vincent and the Grenadines
